init done.
addGladiator: FAILURE
trainingGroupFight: FAILURE
trainingGroupFight: FAILURE
addGladiator: FAILURE
addGladiator: INVALID_INPUT
addGladiator: FAILURE
addTrainingGroup: SUCCESS
trainingGroupFight: FAILURE
addGladiator: FAILURE
trainingGroupFight: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
getMinTrainingGroup: SUCCESS 39
addGladiator: FAILURE
addGladiator: SUCCESS
trainingGroupFight: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: SUCCESS
getMinTrainingGroup: SUCCESS 9
trainingGroupFight: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
trainingGroupFight: INVALID_INPUT
addTrainingGroup: SUCCESS
addTrainingGroup: SUCCESS
addGladiator: FAILURE
trainingGroupFight: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: SUCCESS
addGladiator: FAILURE
trainingGroupFight: FAILURE
trainingGroupFight: FAILURE
trainingGroupFight: FAILURE
getMinTrainingGroup: SUCCESS 2
addGladiator: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addGladiator: INVALID_INPUT
addGladiator: FAILURE
trainingGroupFight: INVALID_INPUT
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: SUCCESS
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addGladiator: FAILURE
addTrainingGroup: SUCCESS
addTrainingGroup: SUCCESS
trainingGroupFight: INVALID_INPUT
addGladiator: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
trainingGroupFight: FAILURE
addTrainingGroup: FAILURE
addGladiator: FAILURE
addGladiator: FAILURE
getMinTrainingGroup: SUCCESS 2
addGladiator: SUCCESS
